ID_PLAZA,DEPOSITOS,AREA,ESTADO,ZONA,CLAVE
7,ALM. VIRTUALES,DISTRIBUIDORES,CAMPECHE,z OTROS,X
13,ALM. VIRTUALES,DISTRIBUIDORES,GUERRERO,z OTROS,X
24,URUAPAN,FORANEO,MICHOACAN,z OTROS,Y
27,CELAYA,FORANEO,GUANAJUATO,CENTRO,H
32,ANDEN-PLANTA,ANDEN-PLANTA,EDO.MEX,z OTROS,Z
39,QUERETARO,FORANEO,QUERETARO,CENTRO,Q
46,ALM. VIRTUALES,DISTRIBUIDORES,PUEBLA,z OTROS,X
50,TOLUCA,FORANEO,EDO.MEX,CENTRO,T
54,ALM. VIRTUALES,DISTRIBUIDORES,VERACRUZ,z OTROS,X
58,ALM. VIRTUALES,DISTRIBUIDORES,TABASCO,z OTROS,X
60,ACAPULCO,FORANEO,GUERRERO,SUR,C
70,ALM. VIRTUALES,DISTRIBUIDORES,TLAXCALA,z OTROS,X
74,DEP.DELICIAS,FORANEO,CHIHUAHUA,NORTE,J
85,MONTERREY,FORANEO,NUEVO LEON,NORTE,E
87,VALLEJO,METROPOLITANO,DISTRITO FEDERAL,CENTRO,A
88,IZTAPALAPA,METROPOLITANO,DISTRITO FEDERAL,CENTRO,I
89,REYES,METROPOLITANO,EDO.MEX,CENTRO,R
91,STA. MARIA,METROPOLITANO,DISTRITO FEDERAL,CENTRO,M
92,LEGARIA,METROPOLITANO,DISTRITO FEDERAL,CENTRO,L
93,PLANTA,METROPOLITANO,EDO.MEX,CENTRO,P
96,GUADALAJARA,FORANEO,JALISCO,NORTE,G
109,CHIHUAHUA,FORANEO,CHIHUAHUA,NORTE,K
113,TORREON,FORANEO,COAHUILA,NORTE,N
117,ECATEPEC,METROPOLITANO,EDO.MEX,CENTRO,W
124,ALM. VIRTUALES,DISTRIBUIDORES,MORELOS,z OTROS,X
125,ALM. VIRTUALES,DISTRIBUIDORES,HIDALGO,z OTROS,X
131,ALM. VIRTUALES,DISTRIBUIDORES,TABASCO,z OTROS,X
143,ALM. VIRTUALES,DISTRIBUIDORES,MICHOACAN,z OTROS,X
167,ALM. VIRTUALES,DISTRIBUIDORES,OAXACA,z OTROS,X
208,ALM. VIRTUALES,DISTRIBUIDORES,QUINTANA ROO,z OTROS,X
227,ALM. VIRTUALES,DISTRIBUIDORES,HIDALGO,z OTROS,X
233,ALM. VIRTUALES,DISTRIBUIDORES,ZACATECAS,z OTROS,X
248,ALM. VIRTUALES,DISTRIBUIDORES,EDO.MEX,z OTROS,X
251,ALM. VIRTUALES,DISTRIBUIDORES,CHIAPAS,z OTROS,X
261,ALM. VIRTUALES,DISTRIBUIDORES,CHIAPAS,z OTROS,X
269,ALM. VIRTUALES,DISTRIBUIDORES,GUERRERO,z OTROS,X
270,ALM. VIRTUALES,DISTRIBUIDORES,S/D,z OTROS,X
416,CULIACAN,FORANEO,SINALOA,NORTE,@
417,AGUASCALIENTES,FORANEO,AGUASCALIENTES,NORTE,$
418,VERACRUZ,FORANEO,VERACRUZ,SUR,F
419,TEJUPILCO,FORANEO,EDO.MEX,CENTRO,V
420,CANCUN,FORANEO,QUINTANA ROO,SUR,1
421,IRAPUATO,FORANEO,GUANAJUATO,CENTRO,0
422,MERIDA,FORANEO,YUCATAN,SUR,2
423,TEQUISQUIAPAN,FORANEO,QUERETARO,CENTRO,3
425,TAMPICO,FORANEO,TAMAULIPAS,NORTE,4
426,VALLE SUR,METROPOLITANO,DISTRITO FEDERAL,CENTRO,5
427,SAN LUIS POTOSI,FORANEO,SAN LUIS POTOSI,NORTE,6
428,MORELIA,FORANEO,MICHOACAN,NORTE,7
429,PUEBLA,FORANEO,PUEBLA,CENTRO,O
431,ZUMPANGO,METROPOLITANO,EDO.MEX,CENTRO,9
432,ATLACOMULCO,FORANEO,EDO.MEX,CENTRO,S
433,CUERNAVACA,FORANEO,MORELOS,SUR,#
434,CHALCO,METROPOLITANO,DISTRITO FEDERAL,CENTRO,8
435,CAMPECHE,FORANEO,CAMPECHE,SUR,YM
436,PUEBLA SUR,FORANEO,PUEBLA,CENTRO,O2
437,TIENDA IZCALLI,METROPOLITANO,EDO.MEX,TIENDA IZCALLI,TIENDA IZCALLI
438,LEON,FORANEO,GUANAJUATO,CENTRO,11
