ID_PRODUCTO,SKU,FAMILIA,CATEGORIA_SOP
AT01,LATTE CAFE DESLACTOSADO 330 M,LECHE,LECHES
AT02,LATTE CHOCOLATE DESLACTOSADO 330 M,LECHE,LECHES
CC01,CREMA CRRCO 900 m,CREMAS CARRANCO,CULINARIO
CC02,CREMA CRRCO 450 m,CREMAS CARRANCO,CULINARIO
CC03,CREMA CRRCO 200 m,CREMAS CARRANCO,CULINARIO
CC04,CREMA LIGHT CRRCO 450 m,CREMAS CARRANCO,CULINARIO
CC05,CREMA CRRCO 4 K,CREMAS CARRANCO,CULINARIO
CC09,CREMA CARRANCO 4 Kg COSTC,CREMAS CARRANCO,CULINARIO
CR02,CREMA 200 M,CREMAS,CULINARIO
CR03,CREMA GRANE,CREMAS,CULINARIO
CR04,CREMA P/BATI,CREMAS,CULINARIO
CR05,CREMA 900 M,CREMAS,CULINARIO
CR06,CREMA 450 M,CREMAS,CULINARIO
CR15,M.CREMA D.LECH.D.VACA UP.250M,CREMAS,CULINARIO
CR16,CREMA ACIDA 25 GR DE GRASA 200 m,CREMAS,CULINARIO
CR17,CREMA ACIDA 25 GR DE GRASA 450 m,CREMAS,CULINARIO
CR18,CREMA ACIDA 25 GR DE GRASA 900 m,CREMAS,CULINARIO
CR19,CREMA ACIDA 25 GR DE GRASA CUBETA 4 l,CREMAS,CULINARIO
CR20,CREMA ACIDA BAJA EN GRASA 200,CREMAS,CULINARIO
CR21,CREMA ACIDA BAJA EN GRASA 900,CREMAS,CULINARIO
CR22,CREMA ACIDA BAJA EN GRASA 450,CREMAS,CULINARIO
CR23,MEDIA CREMA ENV. CRYSTAL 250 M,CREMAS,CULINARIO
CR24,FORTI MEDIA CREMA BASE 250 M,CREMAS,CULINARIO
CR25,CREMA SELECTA 200 M,CREMAS,CULINARIO
CR26,CREMA SELECTA 450 M,CREMAS,CULINARIO
CR27,CREMA SELECTA 900 M,CREMAS,CULINARIO
CR28,M.CREMA D.LECH.D.VACA UP.250M,CREMAS,CULINARIO
CR30,CREMA P/BATIR CB 1L,CREMAS,CULINARIO
CR32,MEDIA CREMA UP ECOLEAN 125 m,CREMAS,CULINARIO
CR33,MEDIA CREMA UP ECOLEAN 200 m,CREMAS,CULINARIO
CR50,CREMA DESLACTOSADA 200M,CREMAS,CULINARIO
CR51,CREMA DESLACTOSADA 450M,CREMAS,CULINARIO
CR52,CREMA DESLACTOSADA 900 m,CREMAS,CULINARIO
CR61,CREMA P/BATIR RICH GRANE,CREMAS,CULINARIO
